j,Manufacturer,Brand,Price,MarketShare,Adult,Kids,Calories,Fat,Sugar
1,Kellogg's,Corn Flakes,1.81,5.67,0,0,100,0,2
2,General Mills,Cheerios,3.16,4.38,0,0,110,2,1
3,Kellogg's,Rice Krispies,2.96,4.04,0,0,120,0,3
4,Kellogg's,Frosted Flakes,2.52,3.82,0,0,120,0,13
5,Kellogg's,Raisin Bran,2.34,2.73,0,0,200,1.5,18
6,General Mills,Total,3.61,2.36,1,0,110,1,5
7,General Mills,HoneyNut Cheerios,3.14,2.26,0,0,120,1.5,11
8,Kellogg's,Special K,3.48,2.16,1,0,110,0,3
9,Post,Grape Nuts,2.14,2.12,1,0,200,1,7
10,Nabisco,SpoonSize Shredded Wheat,2.81,2.08,1,0,170,0.5,0
11,Quaker Oats,100% natural,2.24,1.96,1,0,220,8,13.5
12,Kellogg's,Frosted Mini Wheats,2.62,1.84,1,0,170,1,10
13,Kellogg's,NutriGrain,2.87,1.55,1,0,100,1,0
14,Kellogg's,Mueslix,3.31,1.53,1,0,200,4,13
15,General Mills,Wheaties,2.55,1.52,0,0,110,1,4
16,Post,Raisin Bran,2.23,1.46,0,0,190,1,20
17,Ralston,Muesli,3.34,1.26,1,0,210,2.7,14
18,Kellogg's,Corn Pops,3.51,1.46,0,0,120,0,14
19,General Mills,Raisin Nut Bran,2.98,1.35,1,0,210,4.5,16
20,General Mills,Basic 4,3.27,1.31,1,0,210,3,12
21,General Mills,Cocoa Puffs,3.46,1.28,0,1,120,1,14
22,General Mills,Golden Grahams,3.24,1.24,0,1,120,1,11
23,General Mills,Cinnamon Toast Crunch,3.36,1.23,0,1,130,3,10
24,Kellogg's,Froot Loops,3.53,1.2,0,1,120,1,15
25,Kellogg's,Low Fat Granola,2.68,1.17,1,0,190,3,12
26,General Mills,Trix,3.96,1.13,0,1,120,1.5,13
27,General Mills,Triples,2.33,1.12,1,0,120,1,6
28,Kellogg's,Crispix,3.28,1.12,1,0,110,0,3
29,General Mills,Kix,3.67,1.08,0,1,120,0.8,6
30,General Mills,Lucky Charms,3.45,1.08,0,1,120,1,13
31,General Mills,Apple-Cinnamon Cheerios,3.02,1.06,0,0,120,2,13
32,Kellogg's,Cracklin' Oat Bran,3.19,1.06,1,0,190,6,15
33,Nabisco,Big Biscuit Shredded Wheat,2.79,0.99,1,0,156,1.2,9.6
34,Post,Honey Bunches of Oats,2.85,0.95,1,0,125,2.2,6
35,Post,Great Grains,2.9,0.89,1,0,215,5.5,10.5
36,General Mills,Oatmeal Raisin Crisp,2.71,0.97,1,0,210,2.5,19
37,Quaker Oats,Oat Squares,2.43,0.94,1,0,220,3,9
38,Ralston,Rice Chex,3.4,0.89,1,0,120,0,2
39,General Mills,Total Raisin Bran,3,0.89,1,0,180,1,19
40,Kellogg's,Product 19,3.38,0.89,1,0,100,0,4
41,Kellogg's,Apple Jacks,3.64,0.84,0,1,120,1,16
42,Quaker Oats,Captain Crunch,2.55,0.83,0,1,105,1.5,11.5
43,Nabisco,Shredded Wheat,2.82,0.8,1,0,160,0.5,0
44,Post,Fruity Pebbles,3.32,0.83,0,1,110,1,12
45,General Mills,Clusters,3.14,0.78,0,0,210,3.5,14
46,Kellogg's,Cinnamon MiniBuns,2.75,0.76,0,0,120,0.5,12
47,Kellogg's,Double Dip Crunch,3.01,0.73,1,0,110,0,11
48,General Mills,Multi-Grain Cheerios,3.34,0.75,0,0,110,1,15
49,Post,Honeycomb,3.4,0.74,0,1,110,0,11
50,Quaker Oats,Popeye,1.77,0.67,0,1,120,1,13.3
